Year,Income bracket,Tax Rate
1984,70292.39151398264,28.0
1984,82752.2468659595,33.0
1984,107671.9575699132,38.0
1984,141054.9662487946,42.0
1984,201238.41851494694,45.0
1984,257190.22179363546,49.0
1984,381788.77531340404,50.0
1985,0.0,0.0
1985,8028.061395348837,11.0
1985,12971.895813953488,12.0
1985,17938.40837209302,14.0
1985,28098.214883720928,16.0
1985,37759.10232558139,18.0
1985,47669.44930232558,22.0
1985,58056.037209302325,25.0
1985,70574.37023255814,28.0
1985,83070.02511627907,33.0
1985,108106.6911627907,38.0
1985,141624.98139534885,42.0
1985,202039.54511627904,45.0
1985,258213.29674418602,49.0
1985,383305.91441860463,50.0
1986,0.0,0.0
1986,8178.329981718463,11.0
1986,13236.861060329065,12.0
1986,18273.107861060325,14.0
1986,28613.012797074953,16.0
1986,38484.9478976234,18.0
1986,48579.725776965264,22.0
1986,59164.75776965265,25.0
1986,71911.36471663619,28.0
1986,84635.6873857404,33.0
1986,110128.90127970748,38.0
1986,144290.69926873856,42.0
1986,205839.8747714808,45.0
1986,263065.9003656307,49.0
1986,390531.9698354661,50.0
1987,0.0,11.0
1987,6443.788546255506,15.0
1987,60142.02643171806,28.0
1987,96656.8281938326,35.0
1987,193313.6563876652,38.5
1988,0.0,15.0
1988,61464.004237288136,28.0
1989,0.0,15.0
1989,60800.16518936342,28.0
1990,0.0,15.0
1990,60900.58121632024,28.0
1991,0.0,15.0
1991,60947.5,28.0
1992,0.0,15.0
1992,62296.08850820842,28.0
1993,0.0,15.0
1993,62341.30977130977,28.0
1993,150615.9286209286,31.0
1993,236525.2945252945,36.0
1993,422366.5973665973,39.6
1994,0.0,15.0
1994,62637.05206220419,28.0
